"gene_id","SAMEA4497164_output_filtered.bam","SAMEA4497165_output_filtered.bam","SAMEA4497166_output_filtered.bam","SAMEA4497167_output_filtered.bam"
"PVP01_0101000",717,623,875,917
"PVP01_1443800",2547,1772,1677,2599
"PVP01_0009960",0,0,0,0
"PVP01_1253000",125,30,198,385
"PVP01_1210800",1186,970,1370,1325
"PVP01_0512100",13040,16178,17454,12967
"PVP01_0422000",0,0,0,0
"PVP01_1107700",1277,689,877,1033
"PVP01_0410000",981,767,1242,901
"PVP01_0302500",5,1,12,10
"PVP01_1336200",2517,1762,2048,1783
"PVP01_0010050",0,0,0,0
"PVP01_1145900",498,263,509,415
"PVP01_1343700",105,77,200,130
"PVP01_1408500",403,461,598,349
"PVP01_0837600",2661,1848,2394,2998
"PVP01_0832100",915,1054,1366,2169
"PVP01_0003130",0,0,0,0
"PVP01_1125700",602,706,851,662
"PVP01_1304600",2492,3118,3636,3429
"PVP01_1328300",139,67,166,153
"PVP01_1205500",478,316,492,550
"PVP01_1334900",737,428,641,754
"PVP01_1101400",41,10,46,59
"PVP01_1471600",6,8,6,12
"PVP01_0002240",0,0,0,0
"PVP01_0317900",224,56,102,195
"PVP01_1018900",799,714,749,778
"PVP01_0812800",12578,8588,14733,10521
"PVP01_1342500",1433,1023,1264,1299
"PVP01_0817000",860,617,1199,623
"PVP01_1027700",20033,20170,16980,22186
"PVP01_0317400",354,286,170,172
"PVP01_1315300",68,58,67,66
"PVP01_0509400",680,490,852,857
"PVP01_1126500",1048,649,1021,1102
"PVP01_1327200",1631,1470,1681,1662
"PVP01_0005070",0,0,0,0
"PVP01_0000180",0,0,0,0
"PVP01_1326200",1919,2494,3110,2403
"PVP01_1457000",541,263,497,336
"PVP01_1313100",629,407,317,455
"PVP01_0007220",0,0,0,0
"PVP01_0003800",0,0,0,0
"PVP01_1454200",1219,1072,700,1107
"PVP01_1226200",2889,1482,2883,2490
"PVP01_0731500",2902,2115,3320,2558
"PVP01_1232200",8,7,3,3
"PVP01_1262200",55,23,67,54
"PVP01_0010540",0,0,0,0
"PVP01_0416900",534,519,932,864
"PVP01_1430800",43,45,69,53
"PVP01_0936600",284,270,648,530
"PVP01_0010630",0,0,0,0
"PVP01_1239100",83,84,89,83
"PVP01_0904300",10351,6007,5283,7089
"PVP01_0624500",245,120,307,267
"PVP01_0409300",719,430,357,497
"PVP01_0006240",0,0,0,0
"PVP01_MIT00400",5,8,7,3
"PVP01_0006950",0,0,0,0
"PVP01_0705300",569,747,816,757
"PVP01_0903700",172,169,292,136
"PVP01_1318600",1651,3777,2462,3680
"PVP01_0602400",2012,2107,2542,2179
"PVP01_0117500",458,365,533,501
"PVP01_0839900",0,0,0,0
"PVP01_0715200",10,0,37,1
"PVP01_0002740",0,0,0,0
"PVP01_1303600",1970,1220,1294,1276
"PVP01_0917000",142,115,186,178
"PVP01_1339300",13544,12584,18415,12390
"PVP01_1318200",301,281,219,314
"PVP01_0515500",1869,1326,1461,1619
"PVP01_0735300",168,256,167,170
"PVP01_1023200",1599,1170,2736,1315
"PVP01_1432400",450,508,410,514
"PVP01_0528500",94,85,119,111
"PVP01_0816100",454,561,602,643
"PVP01_1320300",1028,1762,763,1009
"PVP01_0000720",0,0,0,0
"PVP01_1208800",2483,1528,2133,2105
"PVP01_0713700",592,783,713,1034
"PVP01_0709200",350,351,639,657
"PVP01_0008460",0,0,0,0
"PVP01_0949000",0,0,0,0
"PVP01_1306000",305,171,452,327
"PVP01_1011900",109,121,172,210
"PVP01_1028300",1185,1227,1611,1054
"PVP01_1321100",2625,1749,2813,2152
"PVP01_0210300",252,209,165,255
"PVP01_1241800",721,436,502,532
"PVP01_0514300",12962,11068,12793,13004
"PVP01_1427100",572,504,752,561
"PVP01_API02900",0,0,0,0
"PVP01_0109400",483,344,489,379
"PVP01_0302400",4,3,19,16
"PVP01_0904500",456,273,265,268
"PVP01_1433300",4,7,7,4
"PVP01_1467100",1024,1311,2411,2563
"PVP01_0003760",0,0,0,0
"PVP01_1004200",655,753,1565,1094
"PVP01_0001720",0,0,0,0
"PVP01_0530300",83,60,88,46
"PVP01_0000130",0,0,0,0
"PVP01_0815900",662,1042,660,265
"PVP01_0401700",51,62,59,117
"PVP01_1465200",4147,3360,5442,4746
"PVP01_1030800",1887,3500,2318,1929
"PVP01_0909700",2109,1132,1566,1687
"PVP01_0524800",5,5,21,13
"PVP01_0820600",0,0,2,0
"PVP01_1130100",4159,1432,3102,3382
"PVP01_0203900",1651,1145,1588,1733
"PVP01_0503200",170,188,250,250
